100021237RR0001,2012-06-30,125,,,10,,,,,,,231,2146237,9511338,
100021252RR0001,2012-06-30,35,,9,1,,,,,,,44,187364,1956215,
100040781RR0001,2012-03-31,1,1,,,,,,,,,,,21780,
100042373RR0001,2012-03-31,2,9,2,,,,,,,,9,23057,196280,
100042670RR0001,2012-03-31,5,5,,,,,,,,,,,120976,
100044452RR0001,2012-06-30,21,1,7,2,,,,,,,160,1187714,1711336,
100048800RR0001,2012-08-31,6,3,3,,,,,,,,4,52750,371296,
100071927RR0001,2012-08-31,9,4,4,1,,,,,,,9,18355,667296,
100072586RR0001,2012-12-31,53,,,5,3,,1,,1,,7,76646,4167751,
100072933RR0001,2012-12-31,8,5,3,,,,,,,,17,67759,433576,
100075423RR0001,2012-03-31,17,16,1,,,,,,,,7,55460,784710,
100075472RR0001,2012-03-31,13,7,3,,,,,,,,17,158318,792845,
100090059RR0001,2012-03-31,,,,,,,,,,,,,,
100090091RR0001,2012-03-31,30,23,7,,,,,,,,6,43494,945105,
100096585RR0001,2012-12-31,4,4,,,,,,,,,3,7445,148934,
100110626RR0001,2012-04-30,1,,1,,,,,,,,,,44750,
100148196RR0001,2012-03-31,5,5,,,,,,,,,2,8270,169195,
100161512RR0001,2012-07-31,,,,,,,,,,,,5337,5337,
100172188RR0001,2012-03-31,4,2,2,,,,,,,,,,202110,
100192012RR0001,2012-10-31,1,,,,,,,,,,9,76258,76258,
100192194RR0001,2012-03-31,6,5,1,,,,,,,,1,4566,188148,
100193457RR0001,2012-12-31,9,2,7,,,,,,,,1,4870,472634,
100220417RR0001,2012-12-31,,,,,,,,,,,,,,
100221910RR0001,2012-12-31,8,5,3,,,,,,,,5,108192,395006,
100238252RR0001,2012-03-31,1,1,,,,,,,,,4,69502,107249,
100249168RR0001,2012-03-31,,,,,,,,,,,,,,
100295138RR0001,2012-07-31,1,1,,,,,,,,,,,20340,
100295823RR0001,2012-09-30,7,6,,,,,,,,,9,18627,269220,
100296318RR0001,2012-03-31,7,7,,,,,,,,,,,,
100296490RR0001,2012-03-31,8,7,1,,,,,,,,1,3146,318498,
100299163RR0001,2012-12-31,2,2,,,,,,,,,,,20000,
100300219RR0001,2012-03-31,1,1,,,,,,,,,5,19635,35635,
100300748RR0001,2012-03-31,,,,,,,,,,,,,,
100300979RR0001,2012-06-30,,,,,,,,,,,,,,
100301019RR0001,2012-01-31,1,1,,,,,,,,,,,24018,
100301290RR0001,2012-08-31,,,,,,,,,,,,,,
100301464RR0001,2012-03-31,1,1,,,,,,,,,2,6345,28592,
100301845RR0001,2012-12-31,2,2,,,,,,,,,5,43956,110241,
100301878RR0001,2012-03-31,3,3,,,,,,,,,3,,236181,
100302702RR0001,2012-03-31,19,4,5,1,,,,,,,7,57600,805393,
100302801RR0001,2012-03-31,4,4,,,,,,,,,,,48325,
100302827RR0001,2012-12-31,2,2,,,,,,,,,,59854,59854,
100303387RR0001,2012-03-31,,,,,,,,,,,,,,
100303486RR0001,2012-03-31,1,1,,,,,,,,,1,10426,41618,
100303817RR0001,2012-03-31,2,1,1,,,,,,,,1,6850,74196,
100304005RR0001,2012-03-31,2,1,1,,,,,,,,4,65986,143374,
100304344RR0001,2012-03-31,,,,,,,,,,,10,45100,45100,
100304518RR0001,2012-03-31,,,,,,,,,,,2,9797,9797,
100304591RR0001,2012-05-31,2,2,,,,,,,,,5,22752,83072,
100305275RR0001,2012-03-31,5,4,1,,,,,,,,,,143171,
100305283RR0001,2012-03-31,3,3,,,,,,,,,10,30287,91021,
100305473RR0001,2012-12-31,,,,,,,,,,,,,,
100305507RR0001,2012-03-31,2,1,1,,,,,,,,,,82340,
100305663RR0001,2012-03-31,3,1,2,,,,,,,,1,6300,175439,
100306067RR0001,2012-06-30,7,4,3,,,,,,,,8,,304356,
100306174RR0001,2012-12-31,1,1,,,,,,,,,3,40547,60730,
100306182RR0001,2012-12-31,3,3,,,,,,,,,,,103518,
100306323RR0002,2012-03-31,6,5,1,,,,,,,,,,252013,
100306463RR0001,2012-12-31,,,,,,,,,,,,,,
100306836RR0001,2012-03-31,3,3,,,,,,,,,20636,,118076,
100306950RR0001,2012-03-31,,,,,,,,,,,,,89141,
100307016RR0001,2012-03-31,1,,,,,,,,,,,,49186,
100316132RR0001,2012-03-31,2,2,,,,,,,,,3,28130,30864,
100318195RR0001,2012-03-31,3,1,1,1,,,,,,,,,2270138,
100318310RR0001,2012-06-30,2,2,,,,,,,,,,,27944,
100318997RR0001,2012-09-30,10,9,1,,,,,,,,15,,203204,
100319797RR0001,2012-03-31,178,1,8,,1,,,,,,15,95090,4347109,
100334994RR0001,2012-03-31,3,2,1,,,,,,,,15,37752,140981,
100338797RR0001,2012-12-31,7,6,1,,,,,,,,2,,,
100342781RR0001,2012-12-31,,,,,,,,,,,,,,
100356047RR0001,2012-06-30,2,2,,,,,,,,,,,50834,
100356476RR0001,2012-03-31,,,,,,,,,,,,,,
100384734RR0001,2012-08-31,1,,1,,,,,,,,5,39626,254747,
100405299RR0001,2012-08-31,16,,8,2,,,,,,,,,822371,
100452838RR0001,2012-06-30,2,2,,,,,,,,,2,15481,62083,
100459932RR0001,2012-01-31,,,,,,,,,,,,,,
100462118RR0001,2012-06-30,6,6,,,,,,,,,11,22731,184087,
100489897RR0001,2012-11-30,,,,,,,,,,,,,,
100493253RR0001,2012-12-31,2,2,,,,,,,,,,,4574,
100504679RR0001,2012-06-30,,,,,,,,,,,,,,
100504687RR0001,2012-06-30,8,4,4,,,,,,,,23,393892,814914,
100523653RR0001,2012-03-31,2,,,,,,,,,,,,7650,
100560044RR0001,2012-09-30,,,,,,,,,,,,,,
100622661RR0001,2012-03-31,16,2,6,2,,,,,,,36,833850,2000026,
100623602RR0001,2012-06-30,2,2,,,,,,,,,3,12774,55799,
100655810RR0001,2012-03-31,,3,,,,,,,,,,,331311,
100661487RR0001,2012-12-31,1,,,,,,,,,,1,1805,30013,
100681238RR0001,2012-03-31,128,,5,5,,,,,,,82,1283584,6560874,
100709708RR0001,2012-07-31,1,1,,,,,,,,,,,29923,
100718212RR0001,2012-03-31,6,6,,,,,,,,,,,104197,
100731660RR0001,2012-03-31,70,,8,1,1,,,,,,60,1155590,5202436,
100749357RR0001,2012-09-30,3,2,1,,,,,,,,102,399010,520855,
100749498RR0001,2012-12-31,4,4,,,,,,,,,2,6989,9499,
100750959RR0001,2012-10-31,,,,,,,,,,,6,21219,21219,
100754142RR0001,2012-12-31,,,,,,,,,,,,,,
100759810RR0001,2012-08-31,,,,,,,,,,,,,,
100762590RR0001,2012-12-31,4,1,2,1,,,,,,,,,358641,
100762723RR0001,2012-12-31,,,,,,,,,,,6,102736,102736,
100763416RR0001,2012-03-31,8,,4,3,1,,,,,,,,755219,
100764638RR0001,2012-12-31,1,1,,,,,,,,,1,,23021,
100764646RR0001,2012-12-31,,,,,,,,,,,,,,
100765114RR0001,2012-03-31,66,8,1,1,,,,,,,39,288482,1772037,
100765882RR0001,2012-12-31,,,,,,,,,,,,,,
100766427RR0001,2012-09-30,,,,,,,,,,,,,,
100769835RR0001,2012-03-31,1,3,,,,,,,,,4,10030,56638,
100772961RR0001,2012-12-31,,,,,,,,,,,,,,
100773365RR0001,2012-03-31,,,,,,,,,,,,,,
100773779RR0001,2012-12-31,,,,,,,,,,,,,,
100774843RR0001,2012-05-31,7,1,5,1,,,,,,,,,470120,
100804939RR0001,2012-06-30,12,7,3,,,,,,,,25,151294,699347,
100807189RR0001,2012-12-31,,,,,,,,,,,15,112186,112186,
100810290RR0001,2012-12-31,5,3,2,,,,,,,,6,41363,253737,
100814854RR0001,2012-12-31,5,4,1,,,,,,,,10,34421,233891,
100815067RR0001,2012-03-31,16,12,3,1,,,,,,,79,1525624,2075624,
100823830RR0001,2012-12-31,23,3,6,1,,,,,,,37,168898,1021426,
100825074RR0001,2012-03-31,6,4,,,,,,,,,17,210077,381052,
100825116RR0001,2012-03-31,5,4,1,,,,,,,,4,23682,193587,
100825322RR0001,2012-03-31,8,7,1,,,,,,,,5,10187,118293,
100825439RR0001,2012-12-31,2,1,1,,,,,,,,5,49976,126976,
100831122RR0001,2012-06-30,11,10,,,,,,,,,13,55434,358962,
100844919RR0001,2012-12-31,31,,6,3,1,,,,,,14,176348,2495388,
100870674RR0001,2012-04-30,,,,,,,,,,,,,,
100872894RR0001,2012-12-31,9,1,,,,,,,,,8,32114,54212,
100875244RR0001,2012-03-31,3,2,1,,,,,,,,,,124788,
100876143RR0001,2012-05-31,,,,,,,,,,,6,18950,18950,
100876481RR0001,2012-03-31,5,5,,,,,,,,,28,47979,248498,
100876499RR0001,2012-03-31,,,,,,,,,,,,,193024,
100876531RR0001,2012-12-31,16,13,2,1,,,,,,,165,811211,1509364,
100876622RR0001,2012-12-31,2,2,,,,,,,,,,,75648,
100876630RR0001,2012-03-31,6,5,1,,,,,,,,12,45739,232350,
100876689RR0001,2012-03-31,17,16,1,,,,,,,,,,396376,
100876887RR0001,2012-04-30,8,,,,,,,,,,5,92686,134686,
100876903RR0001,2012-12-31,20,,10,,,,,,,,87,409960,1543241,
100877505RR0001,2012-03-31,2,1,1,,,,,,,,2,32000,103638,
